date,股票代码,open,close,high,low,volume,amount,振幅,pct_change,涨跌额,turnover
2026-01-13,300750,359.34,352.09,360.86,350.09,296709,10745692370.0,3.04,-0.76,-2.68,0.7
2026-01-14,300750,353.12,347.07,354.31,344.8,380834,13553362724.0,2.7,-1.43,-5.02,0.89
2026-01-15,300750,345.84,346.84,351.37,344.89,323709,11474019059.0,1.87,-0.07,-0.23,0.76
2026-01-16,300750,351.08,345.41,354.81,344.6,319818,11350569563.0,2.94,-0.41,-1.43,0.75
2026-01-19,300750,344.56,341.99,348.43,338.42,338643,11842421263.0,2.9,-0.99,-3.42,0.8
2026-01-20,300750,343.09,342.69,350.0,340.99,354406,12466608900.0,2.63,0.2,0.7,0.83
2026-01-21,300750,345.03,342.9,350.78,342.09,393936,13919426404.0,2.54,0.06,0.21,0.93
2026-01-22,300750,344.12,338.89,346.82,332.59,459948,15851213229.0,4.15,-1.17,-4.01,1.08
2026-01-23,300750,341.1,340.09,343.09,336.34,339761,11775914385.0,1.99,0.35,1.2,0.8
2026-01-26,300750,345.11,335.14,345.64,334.3,332914,11468681279.0,3.33,-1.46,-4.95,0.78
2026-01-27,300750,337.98,332.49,337.99,327.11,322949,10953698562.0,3.25,-0.79,-2.65,0.76
2026-01-28,300750,330.97,333.08,337.09,326.1,463082,15638344008.0,3.31,0.18,0.59,1.09
2026-01-29,300750,333.59,334.98,338.25,331.25,338444,11569006794.0,2.1,0.57,1.9,0.8
2026-01-30,300750,341.49,343.09,346.85,337.19,486501,17048600000.0,2.88,2.42,8.11,1.14
2026-02-02,300750,350.09,342.07,351.08,337.22,391917,13766144457.0,4.04,-0.3,-1.02,0.92
2026-02-03,300750,342.09,341.0,345.89,336.59,265163,9220045792.0,2.72,-0.31,-1.07,0.62
2026-02-04,300750,344.05,358.12,359.74,340.6,485317,17369398061.0,5.61,5.02,17.12,1.14
2026-02-05,300750,358.86,356.03,359.84,349.11,284272,10268243283.0,3.0,-0.58,-2.09,0.67
2026-02-06,300750,352.41,362.2,365.97,351.1,393726,14514523059.0,4.18,1.73,6.17,0.92
2026-02-09,300750,363.59,361.91,365.59,355.69,274486,10080946318.0,2.73,-0.08,-0.29,0.64
2026-02-10,300750,358.26,358.06,363.89,357.09,185635,6798020174.0,1.88,-1.06,-3.85,0.44
2026-02-11,300750,359.99,361.09,364.08,357.59,196535,7239804070.0,1.81,0.85,3.03,0.46
2026-02-12,300750,363.09,368.96,370.97,361.12,277546,10410892196.0,2.73,2.18,7.87,0.65
2026-02-13,300750,368.7,358.43,370.09,358.1,223145,8229700941.0,3.25,-2.85,-10.53,0.52
2026-02-24,300750,365.73,355.04,366.59,355.04,226951,8316534692.0,3.22,-0.95,-3.39,0.53
2026-02-25,300750,356.78,355.27,359.69,353.19,187166,6802110618.0,1.83,0.06,0.23,0.44
2026-02-26,300750,349.14,339.09,351.29,336.59,435414,15108143010.0,4.14,-4.55,-16.18,1.02
2026-02-27,300750,340.21,335.1,342.03,335.1,254466,8775054149.0,2.04,-1.18,-3.99,0.6
2026-03-02,300750,334.09,333.31,337.99,329.77,283513,9643254983.0,2.45,-0.53,-1.79,0.67
2026-03-03,300750,339.42,337.16,347.44,337.12,400075,13919957237.0,3.1,1.16,3.85,0.94
2026-03-04,300750,334.19,331.99,335.11,327.29,250804,8468604901.0,2.32,-1.53,-5.17,0.59
2026-03-05,300750,337.67,343.34,346.94,335.75,310061,10819502021.0,3.37,3.42,11.35,0.73
2026-03-06,300750,342.09,347.86,350.11,337.75,209631,7388868682.0,3.6,1.32,4.52,0.49
2026-03-09,300750,341.93,350.59,352.94,338.15,317976,11217996825.0,4.25,0.78,2.73,0.75
2026-03-10,300750,368.09,369.39,372.86,359.59,507417,19049080512.0,3.79,5.36,18.8,1.19
2026-03-11,300750,372.67,389.89,396.64,372.07,575987,22642696276.0,6.65,5.55,20.5,1.35
2026-03-12,300750,393.09,388.59,393.99,385.79,291504,11537671606.0,2.1,-0.33,-1.3,0.68
2026-03-13,300750,386.97,390.09,397.08,386.89,355826,14201304444.0,2.62,0.39,1.5,0.84
2026-03-16,300750,394.86,401.49,406.26,391.09,373521,15195015004.0,3.89,2.92,11.4,0.88
2026-03-17,300750,408.87,398.09,413.09,397.65,359807,14787230789.0,3.85,-0.85,-3.4,0.85
2026-03-18,300750,398.45,395.11,399.09,389.86,265300,10653633584.0,2.32,-0.75,-2.98,0.62
2026-03-19,300750,395.03,393.59,407.09,393.09,292866,11867380765.0,3.54,-0.38,-1.52,0.69
2026-03-20,300750,398.17,406.09,415.17,393.22,537297,22252017693.0,5.58,3.18,12.5,1.26
2026-03-23,300750,410.42,395.08,410.45,391.84,446141,18193336487.0,4.58,-2.71,-11.01,1.05
2026-03-24,300750,398.09,390.08,404.99,381.09,364105,14439124609.0,6.05,-1.27,-5.0,0.86
2026-03-25,300750,386.09,390.9,393.59,380.89,267528,10553996246.0,3.26,0.21,0.82,0.63
2026-03-26,300750,386.93,395.59,406.81,385.09,267637,10811439764.0,5.56,1.2,4.69,0.63
2026-03-27,300750,399.21,409.27,411.42,394.82,302580,12465856864.0,4.2,3.46,13.68,0.71
2026-03-30,300750,406.09,406.09,411.94,398.69,253484,10440376424.0,3.24,-0.78,-3.18,0.6
2026-03-31,300750,406.09,394.79,410.04,394.67,249256,10159878345.0,3.78,-2.78,-11.3,0.59
2026-04-01,300750,402.82,398.8,402.96,389.09,231701,9384266504.0,3.51,1.02,4.01,0.54
2026-04-02,300750,400.99,394.26,405.08,390.29,223056,8988161794.0,3.71,-1.14,-4.54,0.52
2026-04-03,300750,393.09,379.55,393.89,378.22,247515,9640031385.0,3.97,-3.73,-14.71,0.58
2026-04-07,300750,383.07,377.68,386.29,374.58,172576,6675632984.0,3.09,-0.49,-1.87,0.41
2026-04-08,300750,389.59,384.39,390.74,381.31,364184,14315333338.0,2.5,1.78,6.71,0.86
2026-04-09,300750,387.19,383.08,387.37,379.75,259552,10132744607.0,1.98,-0.34,-1.31,0.61
2026-04-10,300750,387.09,409.09,412.09,385.77,507887,20752496341.0,6.87,6.79,26.01,1.19
2026-04-13,300750,411.09,420.22,426.42,409.09,412399,17625505878.0,4.24,2.72,11.13,0.97
2026-04-14,300750,414.59,423.88,425.58,407.49,442208,18663656302.0,4.3,0.87,3.66,1.04
2026-04-15,300750,431.97,424.09,432.55,420.16,373536,16122379460.0,2.92,0.05,0.21,0.88
2026-04-16,300750,434.09,447.07,453.09,426.11,635062,28517416468.0,6.36,5.42,22.98,1.49
2026-04-17,300750,449.05,437.29,450.73,434.1,365358,16290232435.0,3.72,-2.19,-9.78,0.86
2026-04-20,300750,426.09,425.59,430.99,419.1,529278,22768028849.0,2.72,-2.68,-11.7,1.24
2026-04-21,300750,428.09,440.69,443.22,418.19,577746,25412275748.0,5.88,3.55,15.1,1.36
2026-04-22,300750,441.01,436.35,447.97,433.13,460254,20173924647.0,3.37,-0.98,-4.34,1.08
2026-04-23,300750,443.5,438.9,443.6,435.0,354310,15566836621.0,1.97,0.58,2.55,0.83
2026-04-24,300750,442.0,444.9,448.45,438.0,395425,17517374359.0,2.38,1.37,6.0,0.93
2026-04-27,300750,444.63,434.88,448.76,433.8,330613,14514326132.0,3.36,-2.25,-10.02,0.78
2026-04-28,300750,426.19,427.67,433.3,423.0,350121,14992134063.0,2.37,-1.66,-7.21,0.82
2026-04-29,300750,432.0,445.0,445.15,428.0,376336,16473164317.0,4.01,4.05,17.33,0.88
2026-04-30,300750,446.5,436.0,449.5,436.0,298121,13127297981.0,3.03,-2.02,-9.0,0.7
2026-05-06,300750,457.5,460.0,465.88,448.63,473727,21679900613.0,3.96,5.5,24.0,1.11
2026-05-07,300750,468.75,451.64,468.75,447.0,386213,17551196925.0,4.73,-1.82,-8.36,0.91
2026-05-08,300750,449.0,437.0,455.5,436.2,366049,16224287222.0,4.27,-3.24,-14.64,0.86
2026-05-11,300750,440.0,446.11,450.51,435.1,341901,15198345088.0,3.53,2.08,9.11,0.8
2026-05-12,300750,446.59,431.25,446.85,429.29,341515,14869224127.0,3.94,-3.33,-14.86,0.8
2026-05-13,300750,431.01,434.05,436.58,427.08,316858,13668347813.0,2.2,0.65,2.8,0.74
2026-05-14,300750,449.38,427.0,450.45,427.0,347046,15157645640.0,5.4,-1.62,-7.05,0.82
2026-05-15,300750,428.08,423.6,431.5,421.0,297049,12638150861.0,2.46,-0.8,-3.4,0.7
2026-05-18,300750,420.58,417.23,422.9,414.0,284983,11894351176.0,2.1,-1.5,-6.37,0.67
2026-05-19,300750,415.86,417.92,419.9,406.8,260877,10805349153.0,3.14,0.17,0.69,0.61
2026-05-20,300750,417.0,414.75,422.99,412.66,281190,11734883867.0,2.47,-0.76,-3.17,0.66
2026-05-21,300750,419.87,411.63,427.62,411.42,338672,14239107292.0,3.91,-0.75,-3.12,0.8
2026-05-22,300750,414.7,411.16,416.5,410.0,277884,11472585703.0,1.58,-0.11,-0.47,0.65
2026-05-25,300750,411.28,402.88,414.5,400.0,381977,15479408961.0,3.53,-2.01,-8.28,0.9
